,subj,condition,recall_passed_fixated_first,recall_fixated_incepted,recall_repeated_forgone,recall_forgone,recognition_passed_fixated_first,recognition_fixated_incepted,recognition_repeated_forgone,recognition_forgone
0,sub001,Free_Viewing,0.058823529411764705,0.2857142857142857,0.0,0.0,0.4117647058823529,0.7142857142857143,0.0,0.0
1,sub002,Count_trash_bins,0.0,0.2,0.0,0.0,0.3333333333333333,0.4,0.0,0.0
2,sub003,Free_Viewing,0.21428571428571427,0.4,0.0,0.0,0.5,0.6,0.0,0.5
3,sub004,Count_trash_bins,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07142857142857142
4,sub005,Free_Viewing,0.125,0.16666666666666666,0.0,0.0,0.9375,0.8333333333333334,0.0,0.2857142857142857
5,sub006,Free_Viewing,0.375,0.0,0.0,0.0,0.125,0.0,1.0,0.0
6,sub007,Free_Viewing,0.1,1.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0
7,sub008,Count_trash_bins,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.06666666666666667
8,sub009,Free_Viewing,0.04,0.0,0.0,0.0,0.56,0.6666666666666666,0.0,0.25
9,sub010,Count_trash_bins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
10,sub011,Free_Viewing,0.2,0.2,0.0,0.0,0.4,0.2,0.0,0.0
11,sub012,Count_trash_bins,0.2,0.5,0.0,0.0,0.2,0.5,0.0,0.16666666666666666
12,sub013,Free_Viewing,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,sub014,Count_trash_bins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,sub015,Count_trash_bins,0.6666666666666666,0.5,0.2,0.0,1.0,1.0,0.2,0.25
15,sub016,Count_trash_bins,0.16666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.06666666666666667
16,sub017,Free_Viewing,0.12903225806451613,0.3333333333333333,0.0,0.0,0.5806451612903226,0.3333333333333333,0.0,0.0
17,sub018,Count_trash_bins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,sub019,Free_Viewing,0.18181818181818182,0.4,0.0,0.0,0.6363636363636364,0.6,0.0,0.125
19,sub020,Count_trash_bins,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
20,sub021,Free_Viewing,0.2222222222222222,0.25,0.0,0.0,0.5,0.5,0.0,0.16666666666666666
21,sub022,Count_trash_bins,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
22,sub023,Free_Viewing,0.15,0.5,0.0,0.14285714285714285,0.9,1.0,0.0,0.14285714285714285
23,sub024,Count_trash_bins,0.0,0.3333333333333333,0.25,0.0,0.3333333333333333,0.6666666666666666,0.25,0.2727272727272727
24,sub025,Free_Viewing,0.2,0.5,0.0,0.0,0.4,0.0,0.0,0.0
25,sub026,Count_trash_bins,0.0,0.0,0.0,0.0,0.75,0.0,0.16666666666666666,0.25
26,sub027,Free_Viewing,0.0,0.5,0.0,0.0,0.0,0.75,0.3333333333333333,0.0
27,sub028,Count_trash_bins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,sub029,Free_Viewing,0.21428571428571427,0.0,0.0,1.0,0.6785714285714286,0.6,0.0,1.0
29,sub030,Count_trash_bins,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.16666666666666666
30,sub031,Free_Viewing,0.06666666666666667,0.2857142857142857,0.0,0.0,0.26666666666666666,0.42857142857142855,0.0,0.0
31,sub032,Count_trash_bins,0.3333333333333333,0.0,0.0,0.05555555555555555,0.8333333333333334,1.0,0.5,0.3333333333333333
32,sub033,Free_Viewing,0.16666666666666666,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.7777777777777778
33,sub034,Count_trash_bins,0.0,0.2,0.0,0.0,0.5,0.2,0.0,0.08333333333333333
34,sub035,Free_Viewing,0.25806451612903225,0.6666666666666666,0.0,0.5,0.8387096774193549,1.0,0.0,0.5
35,sub036,Count_trash_bins,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0
36,sub037,Free_Viewing,0.28,0.25,0.0,0.0,0.56,0.75,0.0,0.5
37,sub038,Count_trash_bins,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2
38,sub039,Free_Viewing,0.22580645161290322,0.0,0.0,0.0,0.7096774193548387,0.5,0.0,0.0
39,sub040,Count_trash_bins,0.3333333333333333,0.4,0.0,0.0,0.3333333333333333,0.8,0.0,0.1111111111111111
